tag_name,device,data_type,access,scale,unit,description_zh,description_ja
SafetyPermissive,M0,BOOL,Read,1,,安全许可,安全許可
SafetyResetRequest,M1,BOOL,WritePulse,1,,安全复位请求,安全リセット要求
AutoMode,M10,BOOL,ReadWrite,1,,自动模式,自動モード
CycleStartRequest,M11,BOOL,WritePulse,1,,循环启动请求,サイクル起動要求
CycleStopRequest,M12,BOOL,WritePulse,1,,循环停止请求,サイクル停止要求
CycleRunning,M20,BOOL,Read,1,,循环运行中,サイクル運転中
BatchComplete,M21,BOOL,Read,1,,批次完成,バッチ完了
CommunicationHealthy,M31,BOOL,Read,1,,通信正常,通信正常
HmiHeartbeat,M100,BOOL,WriteToggle,1,,HMI每500ms翻转,HMIが500msごとに反転
SequenceStep,D0,UINT16,Read,1,,顺序步,シーケンスステップ
RecipeSpeed,D100,UINT16,ReadWrite,1,pcs/min,生产速度,生産速度
RecipeTargetWeight,D101,UINT16,ReadWrite,1,mg,目标重量,目標重量
RecipeTolerance,D102,UINT16,ReadWrite,1,mg,重量容差,重量公差
RecipeRejectPulse,D103,UINT16,ReadWrite,1,ms,剔除脉冲,排出パルス
RecipeBatchTarget,D104,UINT32,ReadWrite,1,pcs,批次目标,バッチ目標
TotalCount,D20,UINT32,Read,1,pcs,总产量,総生産数
GoodCount,D22,UINT32,Read,1,pcs,良品数,良品数
RejectCount,D24,UINT32,Read,1,pcs,剔除数,排出数
ActualWeight,D26,INT16,Read,0.1,mg,当前重量,現在重量
ActiveAlarm,D30,UINT16,Read,1,,当前报警码,現在アラームコード
ScanTime,D31,UINT16,Read,0.01,ms,扫描时间,スキャンタイム
